Date,portval,profit
2011-03-22,10207.388742592786,207.388742592786
2011-03-23,10102.034997653667,102.03499765366723
2011-03-24,10257.531278493818,257.5312784938178
2011-03-25,10310.388598260784,310.3885982607844
2011-03-28,10311.772331270848,311.77233127084764
2011-03-29,10272.839140874063,272.83914087406265
2011-03-30,10413.603034103362,413.603034103362
2011-03-31,10467.331629320985,467.3316293209846
2011-04-01,10507.36143115927,507.36143115927007
2011-04-04,10507.36143115927,507.36143115927007
2011-04-05,10465.090030339969,465.0900303399685
2011-04-06,10529.731928577054,529.7319285770536
2011-04-07,10585.652896008945,585.6528960089454
2011-04-08,10641.413687868866,641.413687868866
2011-04-11,10525.163481303432,525.1634813034325
2011-04-12,10493.044554586826,493.04455458682605
2011-04-13,10583.7091009791,583.7091009791002
2011-04-14,10422.170042188613,422.17004218861257
2011-04-15,10493.42944305343,493.4294430534301
2011-04-18,10394.434638662355,394.4346386623547
2011-04-19,10421.092418463077,421.0924184630767
2011-04-20,10498.483813985858,498.48381398585843
2011-04-21,10627.675849271127,627.6758492711269
2011-04-25,10538.534352020064,538.534352020064
2011-04-26,10608.234612953234,608.2346129532343
2011-04-27,10713.419246065372,713.4192460653721
2011-04-28,10727.60830541582,727.6083054158207
2011-04-29,10826.656148399612,826.656148399612
2011-05-02,10951.389662849087,951.3896628490875
2011-05-03,10951.389662849087,951.3896628490875
